"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"CtG10A.2","2020","Age-standardised imprisonment rate","18+ years old","All people","Indigenous status not stated","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","11","80","0","0","0","0","0","0","","92"
"CtG10A.2","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","3434","840","2873","2680","681","140","104","1443","","12195"
"CtG10A.2","2019","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","10011","7248","5903","4255","2178","553","362","294","","30805"
"CtG10A.2","2019","Age-standardised imprisonment rate","18+ years old","All people","Indigenous status not stated","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","11","11","0","0","0","0","7","0","","35"
"CtG10A.2","2018","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","3344","691","2745","2710","661","115","110","1477","","11849"
"CtG10A.2","2018","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","10390","6969","6095","4161","2326","501","364","279","","31095"
"CtG10A.2","2018","Age-standardised imprisonment rate","18+ years old","All people","Indigenous status not stated","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","10","8","0","0","0","0","19","0","","31"
"CtG10A.2","2017","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","3197","610","2724","2514","706","117","95","1349","","11307"
"CtG10A.2","2017","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","9940","6535","5758","4230","2327","480","344","253","","29870"
"CtG10A.2","2017","Age-standardised imprisonment rate","18+ years old","All people","Indigenous status not stated","All areas","People in prison custody at 30 June","","","","","","","","ABS Prisoners in Australia","no.","11","5","0","0","0","0","9","0","","16"
