key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
"Mean Years of Schooling, female (years) (1998)",11.09729469
"Mean Years of Schooling, female (years) (1999)",11.10127507
"Mean Years of Schooling, female (years) (2000)",11.10525545
"Mean Years of Schooling, female (years) (2001)",11.1689415
"Mean Years of Schooling, female (years) (2002)",11.23262755
"Mean Years of Schooling, female (years) (2003)",11.2963136
"Mean Years of Schooling, female (years) (2004)",11.35999966
"Mean Years of Schooling, female (years) (2005)",11.40999985
"Mean Years of Schooling, female (years) (2006)",11.56000042
"Mean Years of Schooling, female (years) (2007)",11.63000011
"Mean Years of Schooling, female (years) (2008)",11.90999985
"Mean Years of Schooling, female (years) (2009)",11.97000027
"Mean Years of Schooling, female (years) (2010)",12.03999996
"Mean Years of Schooling, female (years) (2011)",12.14999962
"Mean Years of Schooling, female (years) (2012)",12.31000042
"Mean Years of Schooling, female (years) (2013)",12.03999996
"Mean Years of Schooling, female (years) (2014)",12.13000011
"Mean Years of Schooling, female (years) (2015)",12.23999977
"Mean Years of Schooling, female (years) (2016)",12.35999966
"Mean Years of Schooling, female (years) (2017)",12.35000038
"Mean Years of Schooling, female (years) (2018)",12.52000046
"Mean Years of Schooling, female (years) (2019)",12.60999966
"Mean Years of Schooling, female (years) (2020)",12.72999954
"Mean Years of Schooling, female (years) (2021)",12.85000038
"Mean Years of Schooling, female (years) (2022)",12.94999981
"Mean Years of Schooling, female (years) (2023)",12.94999981
"Gross National Income Per Capita, female (2021 PPP$) (1990)",21216.08358
"Gross National Income Per Capita, female (2021 PPP$) (1991)",20774.07345
"Gross National Income Per Capita, female (2021 PPP$) (1992)",20743.04616
"Gross National Income Per Capita, female (2021 PPP$) (1993)",21385.68419
"Gross National Income Per Capita, female (2021 PPP$) (1994)",22151.06151
"Gross National Income Per Capita, female (2021 PPP$) (1995)",22982.52708
"Gross National Income Per Capita, female (2021 PPP$) (1996)",23807.92867
"Gross National Income Per Capita, female (2021 PPP$) (1997)",24732.70082
"Gross National Income Per Capita, female (2021 PPP$) (1998)",25742.01836
"Gross National Income Per Capita, female (2021 PPP$) (1999)",26611.92449
"Gross National Income Per Capita, female (2021 PPP$) (2000)",27936.64125
"Gross National Income Per Capita, female (2021 PPP$) (2001)",25456.6479
"Gross National Income Per Capita, female (2021 PPP$) (2002)",26811.08066
"Gross National Income Per Capita, female (2021 PPP$) (2003)",27426.4304
"Gross National Income Per Capita, female (2021 PPP$) (2004)",28224.15123
"Gross National Income Per Capita, female (2021 PPP$) (2005)",29374.6222
"Gross National Income Per Capita, female (2021 PPP$) (2006)",30938.94391
"Gross National Income Per Capita, female (2021 PPP$) (2007)",31823.45733
"Gross National Income Per Capita, female (2021 PPP$) (2008)",32456.71525
"Gross National Income Per Capita, female (2021 PPP$) (2009)",33695.29956
"Gross National Income Per Capita, female (2021 PPP$) (2010)",33612.43393
"Gross National Income Per Capita, female (2021 PPP$) (2011)",35837.91896
"Gross National Income Per Capita, female (2021 PPP$) (2012)",36120.36654
"Gross National Income Per Capita, female (2021 PPP$) (2013)",35723.0762
"Gross National Income Per Capita, female (2021 PPP$) (2014)",36268.53019
"Gross National Income Per Capita, female (2021 PPP$) (2015)",36825.90139
"Gross National Income Per Capita, female (2021 PPP$) (2016)",36911.67102
"Gross National Income Per Capita, female (2021 PPP$) (2017)",38358.07708
"Gross National Income Per Capita, female (2021 PPP$) (2018)",40134.4561
"Gross National Income Per Capita, female (2021 PPP$) (2019)",41190.88539
"Gross National Income Per Capita, female (2021 PPP$) (2020)",41172.40465
"Gross National Income Per Capita, female (2021 PPP$) (2021)",44440.99957
"Gross National Income Per Capita, female (2021 PPP$) (2022)",48642.14684
"Gross National Income Per Capita, female (2021 PPP$) (2023)",48588.08342
HDI male (1990),0.880585647
HDI male (1991),0.882050008
HDI male (1992),0.881913202
HDI male (1993),0.886300733
HDI male (1994),0.88684212
HDI male (1995),0.89576024
HDI male (1996),0.897198852
HDI male (1997),0.900712751
HDI male (1998),0.903756266
HDI male (1999),0.906430815
HDI male (2000),0.909911958
HDI male (2001),0.916028653
HDI male (2002),0.918408642
HDI male (2003),0.921961647
HDI male (2004),0.926661139
HDI male (2005),0.929877562
HDI male (2006),0.932498533
HDI male (2007),0.93451062
HDI male (2008),0.939489145
HDI male (2009),0.941895382
HDI male (2010),0.943570563
HDI male (2011),0.946593746
HDI male (2012),0.952911794
HDI male (2013),0.950398509
HDI male (2014),0.952781775
HDI male (2015),0.952604803
HDI male (2016),0.953402812
HDI male (2017),0.953771342
HDI male (2018),0.95732052
HDI male (2019),0.959362936
HDI male (2020),0.962005782
HDI male (2021),0.965861563
HDI male (2022),0.960999858
HDI male (2023),0.967946822
"Life Expectancy at Birth, male (years) (1990)",73.978
"Life Expectancy at Birth, male (years) (1991)",74.491
"Life Expectancy at Birth, male (years) (1992)",74.493
"Life Expectancy at Birth, male (years) (1993)",75.037
"Life Expectancy at Birth, male (years) (1994)",74.917
"Life Expectancy at Birth, male (years) (1995)",75.39
"Life Expectancy at Birth, male (years) (1996)",75.452
"Life Expectancy at Birth, male (years) (1997)",75.865
"Life Expectancy at Birth, male (years) (1998)",76.179
"Life Expectancy at Birth, male (years) (1999)",76.501
"Life Expectancy at Birth, male (years) (2000)",76.946
"Life Expectancy at Birth, male (years) (2001)",77.384
"Life Expectancy at Birth, male (years) (2002)",77.541
"Life Expectancy at Birth, male (years) (2003)",77.943
"Life Expectancy at Birth, male (years) (2004)",78.265
"Life Expectancy at Birth, male (years) (2005)",78.671
"Life Expectancy at Birth, male (years) (2006)",78.904
"Life Expectancy at Birth, male (years) (2007)",78.914
"Life Expectancy at Birth, male (years) (2008)",79.142
"Life Expectancy at Birth, male (years) (2009)",79.445
"Life Expectancy at Birth, male (years) (2010)",79.806
"Life Expectancy at Birth, male (years) (2011)",79.917
"Life Expectancy at Birth, male (years) (2012)",80.268
"Life Expectancy at Birth, male (years) (2013)",80.464
"Life Expectancy at Birth, male (years) (2014)",80.522
"Life Expectancy at Birth, male (years) (2015)",80.575
"Life Expectancy at Birth, male (years) (2016)",80.752
"Life Expectancy at Birth, male (years) (2017)",80.685
"Life Expectancy at Birth, male (years) (2018)",81.215
"Life Expectancy at Birth, male (years) (2019)",81.205
"Life Expectancy at Birth, male (years) (2020)",81.629
"Life Expectancy at Birth, male (years) (2021)",81.649
"Life Expectancy at Birth, male (years) (2022)",80.731
"Life Expectancy at Birth, male (years) (2023)",82.098
"Expected Years of Schooling, male (years) (1990)",17.47483011
"Expected Years of Schooling, male (years) (1991)",17.46871446
"Expected Years of Schooling, male (years) (1992)",17.46260094
"Expected Years of Schooling, male (years) (1993)",17.45648956
"Expected Years of Schooling, male (years) (1994)",17.45038033
"Expected Years of Schooling, male (years) (1995)",18.96821976
"Expected Years of Schooling, male (years) (1996)",19.46484947
"Expected Years of Schooling, male (years) (1997)",20.02152061
"Expected Years of Schooling, male (years) (1998)",20.18211778
"Expected Years of Schooling, male (years) (1999)",20.34271495
"Expected Years of Schooling, male (years) (2000)",20.50331211
"Expected Years of Schooling, male (years) (2001)",20.66390928
"Expected Years of Schooling, male (years) (2002)",20.82450644
"Expected Years of Schooling, male (years) (2003)",20.98510361
"Expected Years of Schooling, male (years) (2004)",21.14570077
"Expected Years of Schooling, male (years) (2005)",21.30629794
"Expected Years of Schooling, male (years) (2006)",21.4668951
"Expected Years of Schooling, male (years) (2007)",21.62749227
"Expected Years of Schooling, male (years) (2008)",21.78808943
"Expected Years of Schooling, male (years) (2009)",21.9486866
"Expected Years of Schooling, male (years) (2010)",22.10928377
"Expected Years of Schooling, male (years) (2011)",22.26988093
"Expected Years of Schooling, male (years) (2012)",22.4304781
"Expected Years of Schooling, male (years) (2013)",22.59107526
"Expected Years of Schooling, male (years) (2014)",22.75167243
"Expected Years of Schooling, male (years) (2015)",22.91226959
"Expected Years of Schooling, male (years) (2016)",22.51485062
"Expected Years of Schooling, male (years) (2017)",21.5082798
"Expected Years of Schooling, male (years) (2018)",19.86491966
"Expected Years of Schooling, male (years) (2019)",20.74703026
"Expected Years of Schooling, male (years) (2020)",20.1547699
"Expected Years of Schooling, male (years) (2021)",20.19375992
"Expected Years of Schooling, male (years) (2022)",19.84202003
"Expected Years of Schooling, male (years) (2023)",19.84202003
"Mean Years of Schooling, male (years) (1990)",11.4939484
"Mean Years of Schooling, male (years) (1991)",11.51823139
"Mean Years of Schooling, male (years) (1992)",11.54251438
"Mean Years of Schooling, male (years) (1993)",11.56679737
"Mean Years of Schooling, male (years) (1994)",11.59108036
"Mean Years of Schooling, male (years) (1995)",11.61536335
"Mean Years of Schooling, male (years) (1996)",11.58905678
"Mean Years of Schooling, male (years) (1997)",11.56275021
"Mean Years of Schooling, male (years) (1998)",11.53644363
"Mean Years of Schooling, male (years) (1999)",11.51013706
"Mean Years of Schooling, male (years) (2000)",11.48383049
"Mean Years of Schooling, male (years) (2001)",11.53037289
"Mean Years of Schooling, male (years) (2002)",11.57691528
"Mean Years of Schooling, male (years) (2003)",11.62345768
"Mean Years of Schooling, male (years) (2004)",11.67000008
"Mean Years of Schooling, male (years) (2005)",11.68999958
"Mean Years of Schooling, male (years) (2006)",11.72999954
"Mean Years of Schooling, male (years) (2007)",11.78999996
"Mean Years of Schooling, male (years) (2008)",11.97000027
"Mean Years of Schooling, male (years) (2009)",12.01000023
"Mean Years of Schooling, male (years) (2010)",12.02999973
"Mean Years of Schooling, male (years) (2011)",12.07999992
"Mean Years of Schooling, male (years) (2012)",12.27999973
"Mean Years of Schooling, male (years) (2013)",12
"Mean Years of Schooling, male (years) (2014)",12.19999981
"Mean Years of Schooling, male (years) (2015)",12.26000023
"Mean Years of Schooling, male (years) (2016)",12.34000111
"Mean Years of Schooling, male (years) (2017)",12.28999996
"Mean Years of Schooling, male (years) (2018)",12.39000034
"Mean Years of Schooling, male (years) (2019)",12.52000046
"Mean Years of Schooling, male (years) (2020)",12.56000042
"Mean Years of Schooling, male (years) (2021)",12.72000027
"Mean Years of Schooling, male (years) (2022)",12.77999973
"Mean Years of Schooling, male (years) (2023)",12.77999973
"Gross National Income Per Capita, male (2021 PPP$) (1990)",39937.72606
"Gross National Income Per Capita, male (2021 PPP$) (1991)",38809.96233
"Gross National Income Per Capita, male (2021 PPP$) (1992)",38525.22408
"Gross National Income Per Capita, male (2021 PPP$) (1993)",39610.01846
"Gross National Income Per Capita, male (2021 PPP$) (1994)",40373.13423
"Gross National Income Per Capita, male (2021 PPP$) (1995)",41237.99776
"Gross National Income Per Capita, male (2021 PPP$) (1996)",42433.04912
"Gross National Income Per Capita, male (2021 PPP$) (1997)",43903.66266
"Gross National Income Per Capita, male (2021 PPP$) (1998)",45470.14234
"Gross National Income Per Capita, male (2021 PPP$) (1999)",46709.39999
"Gross National Income Per Capita, male (2021 PPP$) (2000)",48164.43556
"Gross National Income Per Capita, male (2021 PPP$) (2001)",51571.08065
"Gross National Income Per Capita, male (2021 PPP$) (2002)",52684.18933
"Gross National Income Per Capita, male (2021 PPP$) (2003)",53739.85436
"Gross National Income Per Capita, male (2021 PPP$) (2004)",56592.39622
"Gross National Income Per Capita, male (2021 PPP$) (2005)",57675.35132
"Gross National Income Per Capita, male (2021 PPP$) (2006)",58841.83824
